country,Employee age,Emplyoee work exp,Salary
Germany,29,9,97100
Netherlands,49,21,123400
Mexico,30,10,45300
Sweden,30,8,82600
Switzerland,32,10,109600
Mexico,50,29,107200
Ireland,29,10,95100
Germany,29,10,98800
Portugal,43,17,84800
Ireland,18,0,72700
France,43,25,133200
Norway,51,30,152100
Germany,18,0,73700
Argentina,26,5,37500
Spain,20,1,50100
Mexico,31,4,39300
Mexico,39,15,66200
Germany,50,28,137300
Germany,61,36,160900
Belgium,39,15,109200
Austria,40,21,120600
Netherlands,38,14,104700
US,43,17,114100
Argentina,30,5,40800
Spain,28,6,58800
Mexico,27,2,20500
Portugal,34,13,70700
Canada,33,4,88400
Brazil,33,9,51900
Canada,29,9,105800
US,35,9,105800
Brazil,39,17,64400
Germany,40,15,115500
Ireland,33,13,91300
Poland,19,0,40900
Mexico,43,23,87900
US,28,7,145900
Ireland,28,0,61200
Brazil,25,5,43800
Germany,27,2,84200
Austria,22,2,69900
France,36,18,116500
Belgium,21,0,54500
Portugal,45,18,84100
Spain,34,13,101300
Poland,50,25,95400
Mexico,37,11,54300
Ireland,39,17,103200
Portugal,39,21,87000
Norway,18,0,77600
Denmark,37,16,106200
Austria,20,2,52100
Portugal,26,3,57200
Argentina,36,18,66000
Belgium,27,6,67900
Argentina,18,0,13200
US,20,0,75500
Argentina,41,15,75400
Switzerland,28,5,105900
Argentina,29,4,30300
Germany,30,2,72600
Brazil,36,14,55500
US,54,33,167800
Poland,36,8,72400
US,40,19,134600
Netherlands,39,18,112800
France,51,26,125300
Ireland,27,8,89900
Brazil,41,17,53400
Argentina,23,3,18200
Mexico,48,26,98100
Sweden,32,11,92900
Poland,54,35,119000
Brazil,31,13,58900
Spain,41,23,107200
Canada,37,18,108600
Norway,28,10,84300
Germany,51,24,131800
Poland,48,28,118500
Portugal,36,14,67400
Sweden,35,14,99900
Argentina,34,15,50800
Belgium,50,31,162700
Switzerland,27,6,112100
Switzerland,34,15,122700
France,43,24,114100
Spain,32,5,77700
Norway,20,0,88700
Ireland,23,2,82800
Belgium,31,10,80400
Portugal,34,16,66000
UK,29,8,106100
Mexico,50,29,98000
Austria,19,0,56400
France,20,2,71700
Mexico,28,10,49100
Argentina,29,11,59500
Netherlands,31,8,88500
UK,51,33,150800
UK,36,17,113900
Italy,18,0,48700
Norway,35,14,101000
Belgium,24,3,76300
Ireland,32,6,87400
Ireland,27,3,63400
Denmark,33,7,82800
Belgium,28,7,80200
Portugal,33,12,68900
Denmark,20,2,90200
Austria,33,13,99600
Belgium,23,0,64900
Germany,30,5,78300
Sweden,28,2,53200
Ireland,31,9,83800
France,50,32,137800
Canada,24,2,56700
US,33,4,202700
UK,36,16,113900
France,47,25,124600
Sweden,41,20,111000
Argentina,43,21,83200
Italy,18,0,61500
France,29,9,97200
UK,43,16,105300
Sweden,42,20,123700
France,33,13,104700
Mexico,39,16,68100
Norway,56,38,182800
France,28,0,74000
Portugal,27,4,54000
France,37,10,77500
Italy,27,6,59100
Poland,40,22,105800
Brazil,42,24,88600
US,36,11,98500
Belgium,18,0,64600
Sweden,48,30,150300
Italy,51,25,109300
Denmark,43,22,138500
Sweden,26,8,89900
France,47,27,131900
Denmark,33,8,93600
Denmark,39,16,105900
Belgium,24,0,61700
Poland,40,22,96300
UK,26,0,59800
Portugal,31,9,59200
Poland,38,18,86300
Netherlands,25,5,76100
Portugal,33,8,49700
Austria,37,15,98300
Switzerland,30,6,111900
Belgium,59,41,167800
Brazil,18,0,18600
Italy,43,17,90200
Ireland,34,11,104500
Mexico,42,17,64700
Belgium,40,21,123500
Denmark,31,12,95600
Switzerland,41,20,142500
Austria,49,30,144600
Canada,42,19,115100
Argentina,47,18,55400
Sweden,30,11,93300
Portugal,58,28,120600
Spain,46,25,115200
Norway,46,27,147700
Spain,48,27,108500
Sweden,38,19,128400
Norway,45,22,143100
Denmark,32,11,90400
France,41,21,119700
France,26,8,89100
US,37,16,103600
Poland,35,11,56000
Spain,45,24,111300
Netherlands,26,8,98100
Portugal,29,7,60300
Switzerland,39,19,149800
UK,46,28,152400
Belgium,36,12,79600
Germany,32,11,97200
Ireland,49,19,130100
Sweden,48,23,137300
Sweden,48,27,153400
US,40,19,132600
Mexico,36,17,63600
Switzerland,49,26,176400
Argentina,18,0,22200
Switzerland,42,14,123700
Sweden,41,14,109900
Germany,37,15,113800
Norway,31,9,102800
Spain,47,24,105000
Portugal,38,15,71500
Spain,28,0,43600
Spain,34,11,80300
Belgium,37,15,97900
Switzerland,30,9,118400
Austria,47,24,135800
Norway,41,18,127900
Switzerland,46,26,168300
Italy,38,14,86200
Austria,33,9,92200
Ireland,39,18,113000
Denmark,35,15,97400
Canada,41,23,123200
Italy,37,19,95000
Belgium,37,16,103900
Portugal,31,4,55900
Ireland,39,15,106300
Canada,18,0,46000
Netherlands,46,28,142400
Switzerland,24,1,109700
UK,28,4,81200
Belgium,33,15,88800
Portugal,51,22,101300
Poland,32,10,77900
Portugal,21,1,26800
Canada,38,14,110600
France,55,32,153600
Netherlands,34,14,110200
France,44,25,128700
Poland,35,17,79200
US,26,4,83000
Germany,34,13,95800
Ireland,39,17,125900
Spain,49,29,130400
Poland,45,21,107000
Mexico,37,19,69200
Sweden,25,1,72400
Ireland,46,26,120200
Italy,21,0,35400
Portugal,31,10,68400
Poland,49,29,117500
Austria,51,24,144200
Brazil,19,0,27200
Norway,37,19,123900
France,52,25,121800
Argentina,49,27,101700
Belgium,50,32,142500
Canada,38,20,129900
Belgium,39,16,90500
Sweden,28,5,88000
Netherlands,22,0,56300
Portugal,47,26,109800
Belgium,51,33,148100
US,30,8,87700
Argentina,37,12,45400
Netherlands,51,29,150900
Netherlands,56,34,170100
France,25,1,82800
Belgium,44,23,125500
Portugal,39,18,86100
France,41,19,119700
